filename,original,translation,status
VOICE_ID.BIN_00000001.wav,相変わらずバカズラを下げているわね,"Ты все еще ведешь себя глупо, как обычно.",Успешно
VOICE_ID.BIN_00000002.wav,そ、そうだっけ?私はいつもこんなだけど…,"О, это так? Я всегда такой...",Успешно
VOICE_ID.BIN_00000003.wav,な、なに言ってるんだよ! 私は私だよ!,О чем ты говоришь? Я это я!,Успешно
VOICE_ID.BIN_00000004.wav,つ、つまんないこと言ってないでさ、今日は大切な話があるんだよ。,"Не говори скучных вещей, мне сегодня нужно поговорить о чем-то важном.",Успешно
VOICE_ID.BIN_00000005.wav,こんな話,Такая история,Успешно
VOICE_ID.BIN_00000006.wav,ハルナに休婚してやれ!,Дайте Харуне отдохнуть!,Успешно
VOICE_ID.BIN_00000007.wav,な、なによ、決まってるでしょ?,"Что, уже решено, да?",Успешно
VOICE_ID.BIN_00000008.wav,プロポーズよプロポーズ,"Предложить, предложить",Успешно
VOICE_ID.BIN_00000009.wav,つまり、あなたが私にアイ・ラブ・ユーよ,"Я имею в виду, ты говоришь мне, что я люблю тебя",Успешно
VOICE_ID.BIN_0000000A.wav,ドンカン、そんなだからルイズさんにバカ犬って呼ばれるのよ,"Донкан, вот почему Луиза называет меня глупой собакой.",Успешно
VOICE_ID.BIN_0000000B.wav,いい? あのね!,Хорошо? Понимаете!,Успешно
VOICE_ID.BIN_0000000C.wav,は、はるなはひらがくんじゃなかった。サイトのことが好きなの。だからけなげに待ってるのよ。,"Ха, Харуна не был Хирагакуном. Мне нравится сайт. Вот почему я терпеливо жду.",Успешно
VOICE_ID.BIN_0000000D.wav,あなたが サイトが結婚を申し込んでくれることを,"Вы хотите, чтобы сайт предложил вам выйти замуж.",Успешно
VOICE_ID.BIN_0000000E.wav,だって、ライバルが多いし、結婚しないと手も握っちゃダメだってママは言ってたし,"Ведь у меня много соперников, и мама сказала, что я не смогу держать тебя за руку, пока ты не выйдешь замуж.",Успешно
VOICE_ID.BIN_0000000F.wav,とにかく、だからこれはハルナの願いなの!,"В любом случае, именно поэтому это желание Харуны!",Успешно
VOICE_ID.BIN_00000010.wav,違うわよ!アキナもそうだけど、私だって!,"Нет! Акина такая же, и я тоже!",Успешно
VOICE_ID.BIN_00000011.wav,ひ、ひどい!あたしに化けて何を勝手に!,"Х-это ужасно! Что ты делаешь, когда маскируешься под меня?",Успешно
VOICE_ID.BIN_00000012.wav,違うんだ今のは春長私のフリをして,"Нет, сейчас Харунага притворяется мной.",Успешно
VOICE_ID.BIN_00000013.wav,えっと…,Хорошо...,Успешно
VOICE_ID.BIN_00000014.wav,実は3人目のフユナだったりして,Вообще-то это третья Фуюна.,Успешно
VOICE_ID.BIN_00000015.wav,な、なによー!,Ч-что?!,Успешно
VOICE_ID.BIN_00000016.wav,受けてみなさい,Возьми это,Успешно
VOICE_ID.BIN_00000017.wav,,,Не речь / Смех / Звук
VOICE_ID.BIN_00000018.wav,あたしの攻撃の味はいかが?,Как тебе моя атака?,Успешно
VOICE_ID.BIN_00000019.wav,狙い通りね,Это цель,Успешно
VOICE_ID.BIN_0000001A.wav,攻撃が単調よ!,Атаки монотонны!,Успешно
VOICE_ID.BIN_0000001B.wav,そう来ると思ってたわ!,"Я знал, что оно придет!",Успешно
VOICE_ID.BIN_0000001C.wav,痛いじゃないの,Разве это не больно?,Успешно
VOICE_ID.BIN_0000001D.wav,こんな奴に!,Для такого человека!,Успешно
VOICE_ID.BIN_0000001E.wav,負けないわよ!,Я не проиграю!,Успешно
VOICE_ID.BIN_0000001F.wav,,,Не речь / Смех / Звук
VOICE_ID.BIN_00000020.wav,負けてたまるもんですか!,Стоит ли терять?,Успешно
VOICE_ID.BIN_00000021.wav,お返しはするわよ!,Я верну тебе деньги!,Успешно
VOICE_ID.BIN_00000022.wav,あけないわね,Я не могу его открыть.,Успешно
VOICE_ID.BIN_00000023.wav,やりすぎちゃった,я сделал слишком много,Успешно
VOICE_ID.BIN_00000024.wav,こんな奴に…,Для такого парня...,Успешно
VOICE_ID.BIN_00000025.wav,次はこうはいかないわよ!,В следующий раз всё будет не так!,Успешно
VOICE_ID.BIN_00000026.wav,作戦勝ちね,Стратегия побеждает,Успешно
VOICE_ID.BIN_00000027.wav,何よ もう終わりなの,"Что, уже закончилось?",Успешно
VOICE_ID.BIN_00000028.wav,そんな攻撃、効くわけないでしょ?,"Такая атака ни за что не сработает, верно?",Успешно
VOICE_ID.BIN_00000029.wav,ちゃんと当てなさいよ!,Угадайте правильно!,Успешно
VOICE_ID.BIN_0000002A.wav,ショータイムが始まるわ,Время шоу начинается,Успешно
VOICE_ID.BIN_0000002B.wav,この私をどうしようって言うんだい,Что ты собираешься со мной делать?,Успешно
VOICE_ID.BIN_0000002C.wav,ウェザリー様,г-н Уэзерли,Успешно
VOICE_ID.BIN_0000002D.wav,元々貴族であったウェザリー様は トリステイン王国によって突然身分を剥奪されたとお話ししていました,"Мистер Уэзерли, который изначально был дворянином, сказал, что Королевство Тристейн внезапно лишило его статуса.",Успешно
VOICE_ID.BIN_0000002E.wav,波々ならぬ魔法の力をレコンキスタに認められたウェザリー様は,"Мистер Уэзерли, чья непоколебимая магическая сила была признана Реконкистой,",Успешно
VOICE_ID.BIN_0000002F.wav,今回の作戦の成功と引き換えに貴族の身分を取り戻してやると,В обмен на успех этой операции я верну себе благородный статус.,Успешно
VOICE_ID.BIN_00000030.wav,わかりました、上陛下。 私で良ければ引き受けます,"Понятно, Ваше Величество. Я возьму это, если меня это устраивает",Успешно
VOICE_ID.BIN_00000031.wav,もしかしたら ウェザリー様の名誉を私が少しでも取り戻せるかもしれない そう思ったんです,"Я подумал, что, возможно, мне удастся восстановить часть чести мистера Уэзерли.",Успешно
VOICE_ID.BIN_00000032.wav,サフォーの本はハルナに任せっきりにすればなんとかなるって,"Если я оставлю книгу Сафо Харуне, все будет хорошо.",Успешно
VOICE_ID.BIN_00000033.wav,サイトー その顔は失礼なことを考えてる顔だねー,"Сайт: Это лицо выглядит так, будто кто-то думает о чем-то грубом.",Успешно
VOICE_ID.BIN_00000034.wav,じゃあな、サイト,"До встречи, сайт",Успешно
## ch_0

VOICE_ID.BIN_00000039.wav,君たちの仕事熱心さには頭が下がるよ,Я тронут вашей преданностью своей работе.,Успешно
VOICE_ID.BIN_0000003A.wav,,,Не речь / Смех / Звук
